Avg bridging: 0.0008232939235742155

Gene	bridging
DGKH	0.0091014610568717
HIPK2	0.0075484099375116714
L2HGDH	0.006607116843506823
TTC28	0.006469084739278979
HTRA1	0.006119346020199033
RNY1P8	0.006019387768738163
PRKAG1	0.005775650950494417
TMEM161B	0.00566045114500171
LATS2	0.005632897097682855
TFAP2D	0.004753833800694018
AMPD3	0.003995313156858887
TBR1	0.00380977945097496
LPL	0.003794702632305999
INSR	0.0028287576701163265
CNNM2	0.0026055792917796653
SMOX	0.0024323091188489005
FAM13A	0.0019192131862456104
ADCY3	0.0018051089420322115
BCAS3	0.0017876102766153231
LRBA	0.0016471462687323564
KANK1	0.0014268240570891127
AC073359.1	0.0013389692759156863
HNF4GP1	0.001315532585165966
CDC16	0.0012329460021542132
TASOR2	0.0012202110416934852
RBFOX1	0.0011642127699118753
PTEN	0.0010446756673800296
RNF130	0.0008671213354857932
FBRSL1	0.00086682481777268
AC018735.1	0.000720168759789894
AC004917.1	0.0006857646025097852
HOXB7	0.0006614724703551066
NAA60	0.0005612218237784536
C12orf75	0.0005268306106267635
KDF1	0.00044432942675754394
CSRP3	0.00042528906492831373
FARP2	0.0003483605753700932
ZNF318	0.00033317925123628787
OR4A16	0.00027831662197053765
RAD52	0.0002306769167239149
LINC02151	0.00022597323550547775
ZFPM2	0.00019195192036080446
ZBTB10	0.00017447474923598734
NPNT	0.0001486875815427861
SEMA4A	0.00014823076329873862
AGBL4	0.00012368342625449356
GLIS3	0.00010788470064858459
AC007493.1	8.68392237572666e-05
ARHGEF25	8.268897099860845e-05
AC090469.2	7.738076244213592e-05
RBMS1	7.508212091521801e-05
SVEP1	6.377222479439597e-05
TUBBP2	4.903420922860369e-05
AC072054.1	4.785964706430886e-05
GRIN2B	3.844520618858779e-05
LSP1	2.837756877939373e-05
AC068888.1	2.1192890509510448e-05
FBN2	2.0835522420737342e-05
AL590080.1	1.9310870906580827e-05
AC087664.2	1.8688593765785456e-05
HOXA3	1.4051767927736921e-05
RTN4	1.3452739816331248e-05
HOXC4	1.284544193290285e-05
RPL17P50	1.27515772610097e-05
AC091114.1	1.2689773405153832e-05
FGR	9.3413464573846e-06
AC011495.1	8.73028318896113e-06
MTHFR	6.9647969821151415e-06
AC009126.1	4.195041527457383e-06
WASF3	0.0
USP4	0.0
UFL1	0.0
TRIP12	0.0
TOP3A	0.0
THSD7B	0.0
THADA	0.0
TFCP2L1	0.0
TERT	0.0
TENT5A	0.0
STK39	0.0
SPRY4	0.0
SOX5	0.0
SIPA1	0.0
SIK3	0.0
RNU6-412P	0.0
PRKD3	0.0
PRKD1	0.0
PREX2	0.0
PRDM6	0.0
PEPD	0.0
PDGFC	0.0
PDE8A	0.0
PDE11A	0.0
PAX2	0.0
OR5B12	0.0
OR4C50P	0.0
OR4A44P	0.0
OLA1	0.0
NPR3	0.0
NCALD	0.0
MRPL40P1	0.0
METTL15	0.0
MAST4	0.0
LRCH1	0.0
LINC01478	0.0
LINC01184	0.0
LINC01153	0.0
LINC01091	0.0
KCNK3	0.0
ITGA9	0.0
IRF6	0.0
INPP5A	0.0
HSPA12A	0.0
GSE1	0.0
GSDME	0.0
EPB41L2	0.0
CLN8	0.0
CHST9	0.0
CCT6A	0.0
CASZ1	0.0
C5orf67	0.0
BMPR1B	0.0
BCAR3	0.0
ATP2B1	0.0
ATAD5	0.0
AC106053.1	0.0
AC099541.1	0.0
AC090919.1	0.0
AC079943.2	0.0
AC034231.1	0.0
AC007923.2	0.0
