Avg closeness: 0.5028095297748262

Gene	closeness
DACH1	0.8227848101265823
AC016735.1	0.6878306878306878
PLEKHG1	0.6842105263157895
RPS27	0.6735751295336787
ZFAND2A	0.6701030927835051
LRRC10B	0.6701030927835051
CABCOCO1	0.6701030927835051
PRSS44P	0.6467661691542289
ATP12A	0.6341463414634146
SLC39A8	0.6190476190476191
MECR	0.6074766355140186
GAB2	0.6074766355140186
MORC3	0.6018518518518519
GPR20	0.5990783410138248
GDF2	0.5855855855855856
BANK1	0.5855855855855856
AC055878.1	0.5855855855855856
CCDC63	0.5829596412556054
GABBR1	0.5777777777777777
RPS27P25	0.5726872246696035
CYP27A1	0.5726872246696035
HFE	0.5603448275862069
SLC7A2	0.5531914893617021
SLC35F1	0.5531914893617021
EXOC5P1	0.5531914893617021
NEDD4L	0.5508474576271186
MIR4421	0.5508474576271186
DNAJB4	0.5508474576271186
BTRC	0.5485232067510548
POLN	0.5439330543933054
AC009387.1	0.5439330543933054
AL591518.1	0.5394190871369294
DBH	0.5349794238683128
PDP2	0.5306122448979592
FRS2	0.5306122448979592
ZFP36L1	0.5284552845528455
ENPEP	0.5284552845528455
ASXL3	0.5263157894736842
UBASH3B	0.5220883534136547
TDRD5	0.5220883534136547
AC108047.1	0.5220883534136547
HSPA4	0.5179282868525896
SORCS3	0.5158730158730159
NRG4	0.5158730158730159
MMP14	0.5158730158730159
HRCT1	0.5158730158730159
RBMS3	0.5138339920948617
MARK3	0.5138339920948617
HAX1	0.5138339920948617
PALM2AKAP2	0.5118110236220472
PABPC4	0.5118110236220472
PRDM16	0.5098039215686274
AC068985.1	0.5098039215686274
AC023347.1	0.5098039215686274
AC018866.2	0.5098039215686274
KLF7	0.5058365758754864
DPEP1	0.5058365758754864
