Avg radiality: 1.9343472456028328

Gene	radiality
CSK	2.797507788161994
SH2B3	2.722741433021807
FGF5	2.5763239875389408
RGL3	2.445482866043614
SDCCAG8	2.236760124610592
ARHGAP42	2.1931464174454827
AC022308.1	2.174454828660436
FES	2.068535825545171
AL050403.2	2.0623052959501558
CPEB4	2.059190031152648
ZNF831	2.05607476635514
DBH	2.0498442367601246
ADO	2.0498442367601246
SLC39A8	2.046728971962617
ZC3HC1	2.043613707165109
TEX41	2.043613707165109
CACNB2	2.043613707165109
INO80	2.0373831775700935
DNM3	2.0373831775700935
CLPB	2.0373831775700935
AL121981.1	2.0373831775700935
AGT	2.0373831775700935
SOX6	2.034267912772586
SLC25A37	2.034267912772586
REEP3	2.034267912772586
PDE1A	2.034267912772586
NAV1	2.034267912772586
MECOM	2.034267912772586
CCNE1	2.034267912772586
AC092484.1	2.034267912772586
UBASH3B	2.0311526479750777
TNS1	2.0311526479750777
RPL17P12	2.0311526479750777
PKD2L1	2.0311526479750777
PIEZO2	2.0311526479750777
GDF2	2.0311526479750777
AL445648.1	2.0311526479750777
AC016735.1	2.0311526479750777
ZFAND2A	2.02803738317757
ZBTB38	2.02803738317757
PALM2AKAP2	2.02803738317757
GABBR1	2.02803738317757
FAM186A	2.02803738317757
FAHD2CP	2.02803738317757
ENPEP	2.02803738317757
DCDC1	2.02803738317757
AUTS2	2.02803738317757
ATP10A	2.02803738317757
ARHGAP15	2.02803738317757
AL590226.2	2.02803738317757
AL356534.1	2.02803738317757
ADRB1	2.02803738317757
AC109322.2	2.02803738317757
AC008125.1	2.02803738317757
SYNPO2	2.0249221183800623
SSPN	2.0249221183800623
SLCO3A1	2.0249221183800623
SLC9A3R2	2.0249221183800623
RBMS3	2.0249221183800623
PTK2	2.0249221183800623
PLEKHG1	2.0249221183800623
PKHD1	2.0249221183800623
PHIP	2.0249221183800623
MIR4421	2.0249221183800623
LINC01738	2.0249221183800623
KIF26A	2.0249221183800623
HAS3	2.0249221183800623
EXOC5P1	2.0249221183800623
CCM2	2.0249221183800623
AL157371.2	2.0249221183800623
AL121885.2	2.0249221183800623
AC016745.1	2.0249221183800623
AC009387.1	2.0249221183800623
AC009296.1	2.0249221183800623
AC006206.2	2.0249221183800623
MTAP	2.0218068535825546
LY6E-DT	2.0218068535825546
UBE2D3	2.0186915887850465
KIF2A	2.0186915887850465
AP1B1P1	2.0186915887850465
AL592429.2	2.0186915887850465
AC055878.1	2.0186915887850465
ZFP36L1	2.015576323987539
SPR	2.015576323987539
SLC35F1	2.015576323987539
SLC25A5P9	2.015576323987539
SENP2	2.015576323987539
RPS4XP18	2.015576323987539
RIMKLB	2.015576323987539
PDE10A	2.015576323987539
NOS3	2.015576323987539
MRAS	2.015576323987539
MAP3K20	2.015576323987539
LMO1	2.015576323987539
LINC01571	2.015576323987539
LINC00211	2.015576323987539
LAMC1	2.015576323987539
KCNK5	2.015576323987539
KCNB1	2.015576323987539
HRCT1	2.015576323987539
HM13	2.015576323987539
GNB4	2.015576323987539
CCDC68	2.015576323987539
BCAS2P3	2.015576323987539
ARHGEF17	2.015576323987539
AL035467.2	2.015576323987539
ADORA1	2.015576323987539
ACTBP13	2.015576323987539
AC023347.1	2.015576323987539
AC022031.2	2.015576323987539
AC009480.2	2.015576323987539
SH3TC2	2.012461059190031
WNT3A	2.0062305295950154
HFE	2.0062305295950154
DPF3	2.0062305295950154
CAPZA1	2.0062305295950154
AC116366.3	2.0062305295950154
PXMP4	2.0031152647975077
PRDM16	2.0031152647975077
NACA	2.0031152647975077
MYEOV	2.0031152647975077
MARK3	2.0031152647975077
LINC02398	2.0031152647975077
LINC01339	2.0031152647975077
GRM7	2.0031152647975077
EXOC6B	2.0031152647975077
DUSP1	2.0031152647975077
DNAJB4	2.0031152647975077
CYP27A1	2.0031152647975077
CERS5	2.0031152647975077
CCDC141	2.0031152647975077
AL157756.1	2.0031152647975077
AC009498.1	2.0031152647975077
ACOX1	1.9937694704049844
ZAP70	1.9906542056074767
YPEL3	1.9906542056074767
TPTE2P5	1.9906542056074767
TGFB2	1.9906542056074767
TBC1D19	1.9906542056074767
SLC8A1	1.9906542056074767
SIK2	1.9906542056074767
SCN2A	1.9906542056074767
RPL24P7	1.9906542056074767
RERE	1.9906542056074767
PTPRD	1.9906542056074767
PPM1E	1.9906542056074767
PLK2	1.9906542056074767
MGA	1.9906542056074767
MARK2P10	1.9906542056074767
LRP4	1.9906542056074767
LINC01940	1.9906542056074767
LINC01890	1.9906542056074767
GTF2I	1.9906542056074767
GRIFIN	1.9906542056074767
GPATCH2	1.9906542056074767
GAB2	1.9906542056074767
DPEP1	1.9906542056074767
CYP2C19	1.9906542056074767
BCKDHB	1.9906542056074767
ATXN7	1.9906542056074767
AL353614.1	1.9906542056074767
AKR1B10	1.9906542056074767
AGPAT4	1.9906542056074767
AC126178.1	1.9906542056074767
AC099518.3	1.9906542056074767
AC040173.2	1.9906542056074767
AC012409.2	1.9906542056074767
AC011518.1	1.9906542056074767
AC007100.1	1.9906542056074767
CABCOCO1	1.9750778816199377
SBNO1	1.9657320872274144
LRRC10B	1.9626168224299065
GUCY1A1	1.9595015576323989
DENND6A-DT	1.9595015576323989
CDC25A	1.9595015576323989
SEPTIN9	1.956386292834891
LINC01975	1.956386292834891
CACNA1C	1.956386292834891
BAG3	1.956386292834891
AL137781.1	1.956386292834891
TM6SF1	1.9501557632398754
SWAP70	1.9501557632398754
RXFP2	1.9501557632398754
MYO9B	1.9501557632398754
FBXL19	1.9501557632398754
CMIP	1.9501557632398754
ARHGAP29	1.9501557632398754
ACMSD	1.9501557632398754
AC108047.1	1.9501557632398754
C1GALT1	1.9345794392523366
MDM4	1.9314641744548287
ZNRF3	1.925233644859813
ZNF100	1.925233644859813
Z98880.1	1.925233644859813
UMOD	1.925233644859813
TCEA2	1.925233644859813
MORC3	1.925233644859813
EIF2AP4	1.925233644859813
CHD6	1.925233644859813
CAMTA1	1.925233644859813
BAHCC1	1.925233644859813
AL445466.1	1.925233644859813
ZNF462	1.9065420560747663
DGKB	1.8940809968847352
COLEC11	1.8940809968847352
BANK1	1.8940809968847352
AC109925.1	1.8940809968847352
STN1	1.884735202492212
AP000820.2	1.8722741433021808
ZNF101	1.8629283489096573
WDR90	1.8629283489096573
DACH1	1.8629283489096573
MBNL2	1.8566978193146417
HDAC7	1.8566978193146417
ZNF652	1.853582554517134
WAC	1.853582554517134
UBE2E3	1.853582554517134
SULT1C3	1.853582554517134
SORCS3	1.853582554517134
SLC7A2	1.853582554517134
RPS27	1.853582554517134
RNASEH2B	1.853582554517134
PRSS44P	1.853582554517134
POLN	1.853582554517134
PLCXD2	1.853582554517134
PLCB1	1.853582554517134
PCDH17	1.853582554517134
OPRM1	1.853582554517134
MINDY4	1.853582554517134
MECR	1.853582554517134
LINC01762	1.853582554517134
GPR20	1.853582554517134
GMPPA	1.853582554517134
FRK	1.853582554517134
DENND2B	1.853582554517134
CCDC33	1.853582554517134
BDNF	1.853582554517134
ASXL3	1.853582554517134
ACVR1C	1.853582554517134
AC018866.2	1.853582554517134
PDE5A	1.8504672897196262
TMEM107	1.8442367601246106
MERTK	1.8442367601246106
AC007652.2	1.8442367601246106
HSPA4	1.8317757009345794
EPC1	1.8317757009345794
BTRC	1.8317757009345794
AL139420.2	1.8317757009345794
AL136367.1	1.8317757009345794
AEBP2	1.8193146417445483
AC068985.1	1.8130841121495327
RAPSN	1.8068535825545171
MLXIP	1.8068535825545171
AP001533.1	1.8037383177570094
ZSCAN2	1.8006230529595015
ZNF692	1.8006230529595015
ZFAT	1.8006230529595015
VPS54	1.8006230529595015
TRMT10C	1.8006230529595015
TMEM44	1.8006230529595015
THSD4	1.8006230529595015
STARD6	1.8006230529595015
RNU6-1145P	1.8006230529595015
RAPGEF5	1.8006230529595015
PREX1	1.8006230529595015
PPP4R3B	1.8006230529595015
PFKFB2	1.8006230529595015
PBX1	1.8006230529595015
PABPC4	1.8006230529595015
OSGIN2	1.8006230529595015
MLF1	1.8006230529595015
MCPH1	1.8006230529595015
LRRC8C	1.8006230529595015
LINC01320	1.8006230529595015
LINC00322	1.8006230529595015
KLF2	1.8006230529595015
IGFBP7	1.8006230529595015
GXYLT1	1.8006230529595015
EML4	1.8006230529595015
DENND2A	1.8006230529595015
CTBP2	1.8006230529595015
CLCNKA	1.8006230529595015
CDC42BPA	1.8006230529595015
CD160	1.8006230529595015
CCDC63	1.8006230529595015
BEND7	1.8006230529595015
ATP12A	1.8006230529595015
ASTN2	1.8006230529595015
ARNTL	1.8006230529595015
ANO1	1.8006230529595015
AC106822.1	1.8006230529595015
TASOR	1.7258566978193146
SORBS3	1.7258566978193146
SELENOKP3	1.7258566978193146
RPS27P25	1.7258566978193146
RGS17	1.7258566978193146
PPL	1.7258566978193146
PDP2	1.7258566978193146
NUDT3	1.7258566978193146
NEDD4L	1.7258566978193146
NCOR2	1.7258566978193146
MXI1	1.7258566978193146
MXD3	1.7258566978193146
MMP14	1.7258566978193146
LEF1	1.7258566978193146
KLF7	1.7258566978193146
IRX1	1.7258566978193146
HAX1	1.7258566978193146
DPYSL2	1.7258566978193146
C19orf47	1.7258566978193146
AZIN1	1.7258566978193146
ADAMTS9	1.7258566978193146
AC099535.1	1.7258566978193146
LINC02235	1.7071651090342679
POU2F1	1.5794392523364487
PIK3R3	1.5794392523364487
CACNA1D	1.5794392523364487
ANK3	1.5794392523364487
AL591518.1	1.5794392523364487
AC098588.2	1.5794392523364487
RNU6-192P	1.4485981308411215
LINC01169	1.4485981308411215
