Avg betweenness: 0.006580576737351653

Gene	betweenness
AL355499.1	0.3724879304093319
GATA2	0.268741802264248
AC087312.1	0.11172979747028519
APOE	0.0767417487947864
TRIP6	0.05729424910368372
HGFAC	0.0475007287738639
CCND2	0.03929725576298672
SUGCT	0.031093029335367648
FGD6	0.0187285156547686
VAC14	0.018142482896090256
EDNRA	0.016102858112610585
AC104119.1	0.014906006783922017
OSBPL7	0.014351942011355753
LIG3	0.012972592617204095
MYPN	0.012826350338897438
MORF4L1	0.011053943513079856
FNDC3B	0.010584614064396952
SLC20A2	0.010582010582010581
XRCC6	0.008878609841381838
KIAA1755	0.008684993368521802
KCNH4	0.008174846912977152
AC091152.3	0.007917875906863436
FER	0.006358746331300892
PHACTR4	0.005326838662602222
AC023161.1	0.005114960297500029
AP003351.1	0.004840991445358157
NOTCH3	0.00406658711074035
SPIB	0.0036878243546130747
PAPPA2	0.003626719063908735
AC007563.2	0.0034779470633077678
FHOD3	0.003158723698371228
LUZP1	0.002996681446222813
KIF15	0.002734559963788396
PROM1	0.002715559990744359
AC024267.2	0.002645859777602308
EEPD1	0.0024091520002217357
FAM186B	0.00207116760764532
ELN	0.0018533698744502408
FOXO3	0.001671609242336703
COG5	0.001175155459818787
LINC01611	0.0010813879225714934
AC009097.2	0.000978004514605505
PLXDC2	0.0009244181657627465
TP53	0.0008688291715104585
KAT2B	0.0006761365292257431
AC074286.1	0.0005567160144421246
LCA5L	0.0005237680989665243
HMGB3P18	0.0004938946429161647
AP000317.2	0.0004586525937906994
WNT7A	0.00043263327807647144
AC022274.1	0.00042983906276890515
LINC02230	0.00042425467226736146
ZNF467	0.00041372345039007415
RANP6	0.00034096545432509424
DOT1L	0.00033405703743417026
SCAI	0.00029126537193743167
BRD1	0.0002813241418755168
WIPF1	0.0001920022014584662
AC004869.1	0.00018106991670829303
EBF1	0.00016229717801234471
TMEM239	0.00014260625240237592
ITGA1	0.00012389579022969966
AL356364.1	0.00011823201873663367
AC004156.1	0.00011392720167159392
ODF2L	0.00010788600369822931
TRANK1	0.00010555756925226701
FHL2	0.00010200813983319894
AC058822.1	0.00010003021232335653
MYO1E	9.800995532167434e-05
MYH6	9.07052803934488e-05
PYY	8.083430569166186e-05
AC009070.1	5.725242551077377e-05
JCAD	5.3294675392820855e-05
PROCR	4.891492121747842e-05
AL359091.2	3.0514225341092248e-05
KCNQ5	2.5939644907799543e-05
FNDC1	2.3518640539917132e-05
PRKCE	2.2407893357691714e-05
PRDM11	1.976756029440933e-05
CELF2	1.407182258246088e-05
ZNF827	9.38121505497392e-06
AC093904.1	9.146684678599573e-06
RN7SKP15	8.869512415611706e-06
LINC02544	7.47778011628356e-06
YAP1	7.03591129123044e-06
MCF2L	7.03591129123044e-06
ULK4	4.69060752748696e-06
HDAC9	4.69060752748696e-06
ZNF516	0.0
ZCCHC2	0.0
ZBTB20	0.0
YY1	0.0
YKT6	0.0
WDR1	0.0
UQCR10	0.0
UBAP1	0.0
TSPAN14	0.0
TRIOBP	0.0
TRHR	0.0
TRAPPC9	0.0
TNRC6B	0.0
TNRC6A	0.0
TMX2	0.0
THEM7P	0.0
TCF7L2	0.0
TCF7L1	0.0
TBL1XR1	0.0
STAB1	0.0
SMAD3	0.0
SLC22A3	0.0
SLC14A2	0.0
SGIP1	0.0
SGCD	0.0
SCN10A	0.0
SAMD4AA	0.0
RREB1	0.0
RNU4-35P	0.0
RNF207	0.0
RIN3	0.0
RAMP2	0.0
RABGAP1	0.0
PSMG2	0.0
PHF19	0.0
PHACTR1	0.0
PDE3A	0.0
PALLD	0.0
NOX4	0.0
NFAT5	0.0
NEBL	0.0
MXRA7	0.0
MSH5	0.0
MPPE1P1	0.0
MLIP	0.0
MAPK4	0.0
MAP2K2	0.0
LUCAT1	0.0
LRRC69	0.0
LINC01569	0.0
LIN54	0.0
LHFPL2	0.0
INHBA	0.0
ING1	0.0
GIPR	0.0
G6PC2	0.0
FBXL17	0.0
FBN1	0.0
FBLN5	0.0
ESR1	0.0
EDN1	0.0
DYNLRB1	0.0
DNM2	0.0
DDAH1	0.0
CYP20A1	0.0
CYBRD1	0.0
CRK	0.0
CREB5	0.0
CRACR2B	0.0
COL6A3	0.0
COL6A1	0.0
COL21A1	0.0
COL15A1	0.0
CNRIP1	0.0
CMSS1	0.0
CHD2	0.0
CEP164	0.0
CDKN1A	0.0
CD46	0.0
CCDC75P1	0.0
CCDC30	0.0
CCDC157	0.0
C1QTNF7	0.0
BNC2	0.0
ARMH3	0.0
ARL6IP6	0.0
ARL14	0.0
ARHGAP12	0.0
ANKUB1	0.0
AL691420.1	0.0
AL365295.1	0.0
AL357146.1	0.0
AL163932.1	0.0
AL049775.2	0.0
AFAP1	0.0
AF207955.1	0.0
ADCY5	0.0
ADAMTS8	0.0
AC120498.4	0.0
AC067959.1	0.0
AC018706.1	0.0
ABCC9	0.0
