Avg betweenness: 0.006116822469925143

Gene	betweenness
PRKAG1	0.3817687848842365
L2HGDH	0.2671179647583328
FARP2	0.107211936529656
PTEN	0.07348425753661494
TFAP2D	0.06294123518429329
LPL	0.05281075202791263
RBFOX1	0.03092620929845921
TTC28	0.02741331019218507
HOXB7	0.01485874908338996
CNNM2	0.01479637110122584
RAD52	0.01438757354972029
UFL1	0.012578214769804594
RNY1P8	0.01222792321397683
MTHFR	0.01179755377173294
AC011495.1	0.00608201200148838
AC087664.2	0.005352556339095636
AC007493.1	0.004851734981376917
BCAS3	0.00461070608933824
CDC16	0.004429522858609552
C12orf75	0.004061679247801202
KCNK3	0.00349999620618178
ATAD5	0.0024279156268483823
AMPD3	0.00205005596929354
TMEM161B	0.001995261917651503
TASOR2	0.0019769486542517054
CHST9	0.0019480658329290108
ZNF318	0.0017866967877434982
GLIS3	0.0014878261357370217
APOB	0.0013304210377560479
NADK	0.0013300117439592753
AC004917.1	0.0013070144815559887
LATS2	0.0012975251134445232
SVEP1	0.001078297015772961
AGBL4	0.0010066219926957113
NAA60	0.000988057944557683
HOXA3	0.000923050497035689
LINC02151	0.0008795996521801459
FAM13A	0.0008600908595647472
HOXC4	0.0007298247746560661
NPR3	0.0006145187044602784
LRCH1	0.0006114586177616538
RNU6-412P	0.00048773031350226437
TUBBP2	0.00045292244581430683
RPL17P50	0.0004458242542200033
HTRA1	0.0004445912585518266
PREX2	0.0004343348756667011
STK39	0.0003825322301566108
FBRSL1	0.00037938895837659036
INPP5A	0.00031094964116702196
C5orf67	0.00030873930710560217
FBN2	0.00028124244748248516
PDE11A	0.00023979192945899864
LSP1	0.00021818269718857974
KDF1	0.0002131095353756162
GRIN2B	0.00020284654685021397
NCALD	0.00014593951975356155
SEMA4A	0.0001175576128137798
C1orf21	0.00011472819821965933
SPRY4	9.161763923354603e-05
PRKAG2	8.051728206830924e-05
CSRP3	7.32922488949998e-05
GSE1	6.626721306728209e-05
TBR1	5.906921552945358e-05
LRBA	5.7318463390569645e-05
INSR	5.4878355647516176e-05
AL590080.1	5.3108009809752105e-05
PRKD1	5.171356732509054e-05
OR4A16	4.875897016509477e-05
HNF4GP1	4.616810592165161e-05
EBF2	3.577840389984603e-05
JAZF1	3.550586610790164e-05
ATP2B1	2.938940320344495e-05
WASF3	2.156287735035363e-05
AC068888.1	1.919189429970869e-05
ADCY3	1.6771126828052823e-05
OR4A44P	1.6611401810642797e-05
AC018735.1	1.560390554697955e-05
USP4	1.5333601671362584e-05
CASZ1	1.4113883356595105e-05
AC005586.2	1.1500201253521938e-05
AC096555.1	1.1180751218701882e-05
RNF130	7.841046309219502e-06
DGKH	6.389000696401076e-06
CELA2A	4.423154328277668e-06
ZMAT2	0.0
ZFPM2	0.0
ZBTB10	0.0
YES1	0.0
YEATS2	0.0
XPR1	0.0
WDR7	0.0
USP36	0.0
TSNARE1	0.0
TRIP12	0.0
TOP3A	0.0
TMEM108	0.0
TFCP2L1	0.0
TERT	0.0
SZT2	0.0
SOX5	0.0
SMOX	0.0
SLC4A1AP	0.0
SIPA1	0.0
RTN4	0.0
RPL31P57	0.0
RGS6	0.0
RBMS1	0.0
PTPRD	0.0
PRKD3	0.0
PRDM6	0.0
PPP2R5E	0.0
PLCE1	0.0
PLCD3	0.0
PEPD	0.0
PDGFC	0.0
PDE8A	0.0
PCCB	0.0
OR5B12	0.0
OR4C50P	0.0
OLA1	0.0
NPNT	0.0
NIBAN2	0.0
NFATC2	0.0
NDUFAF6	0.0
NCOA7	0.0
MKLN1	0.0
MIR4418	0.0
MAST4	0.0
MAD1L1	0.0
LTBP2	0.0
LINC02172	0.0
LINC01857	0.0
LINC01808	0.0
LINC01478	0.0
LINC01153	0.0
LINC01091	0.0
LINC00208	0.0
LCORL	0.0
KLF14	0.0
KDM5A	0.0
KDM4B	0.0
KANK1	0.0
ITGA9	0.0
IRF6	0.0
IRF5	0.0
IER5L	0.0
HSPA12A	0.0
HIPK2	0.0
HIC1	0.0
GVQW3	0.0
GSDME	0.0
FOXC1	0.0
FGR	0.0
FGF9	0.0
FGD5	0.0
DOCK8	0.0
DDHD2	0.0
CWC27	0.0
CRB1	0.0
CPS1	0.0
CNTN3	0.0
CLN8	0.0
CENPP	0.0
CDKAL1	0.0
CCT6A	0.0
BCL2	0.0
BANP	0.0
ARMC4	0.0
ARHGEF25	0.0
AL391117.1	0.0
AHRR	0.0
AF222685.1	0.0
AC138627.1	0.0
AC106053.1	0.0
AC104596.1	0.0
AC103409.1	0.0
AC099541.1	0.0
AC094104.2	0.0
AC090469.2	0.0
AC079943.2	0.0
AC073359.1	0.0
AC072054.1	0.0
AC062015.1	0.0
AC034231.1	0.0
AC021218.1	0.0
AC018953.1	0.0
AC009126.1	0.0
AC007923.2	0.0
