Avg centroid_value: -274.9328621908127

Gene	centroid_value
MYH6	0
KIAA1755	0
AC087312.1	0
TRIP6	-131
RNU4-35P	-272
AL049775.2	-275
AC009055.1	-275
MYH11	-276
HMGB3P18	-276
SCN10A	-277
FHOD3	-277
ZNF827	-278
ZNF516	-278
ZNF467	-278
ZBTB20	-278
WIPF1	-278
VMP1	-278
UBAP1	-278
TRAPPC9	-278
TP53	-278
TNS3	-278
TNRC6B	-278
TNRC6A	-278
TMEM239	-278
TLN2	-278
TGFBR3	-278
TET2	-278
TBL1XR1	-278
SUGCT	-278
STAM2	-278
SPSB1	-278
SMOC2	-278
SLX4IP	-278
SLC14A2	-278
SGIP1	-278
SF3A3	-278
RREB1	-278
RNF207	-278
RN7SKP15	-278
RERG	-278
RANP6	-278
RAMP2	-278
RABGAP1	-278
PSMG2	-278
PROM1	-278
PROCR	-278
PHACTR4	-278
PHACTR1	-278
PAPPA2	-278
OSBPL7	-278
ODF2L	-278
NRG1	-278
NOX4	-278
NOTCH3	-278
NFKBIA	-278
NFAT5	-278
NEBL	-278
MXRA7	-278
MSI2	-278
MSH5	-278
MRC2	-278
MORF4L1	-278
MLIP	-278
MED13L	-278
MAP2K2	-278
MAP1B	-278
LUCAT1	-278
LRRC69	-278
LINC02576	-278
LINC02544	-278
LINC02230	-278
LINC01611	-278
LINC01569	-278
LIG3	-278
KLHL29	-278
KIF15	-278
KIAA0753	-278
KCNQ5	-278
KAT2B	-278
IL6	-278
HAUS6	-278
H1-7	-278
GDF7	-278
GATA2	-278
G6PC2	-278
FOXO3	-278
FGD6	-278
FER	-278
FBXL17	-278
FBN1	-278
FAM193A	-278
FAM186B	-278
FAF1	-278
ESR1	-278
ELN	-278
ELL	-278
EDNRA	-278
EBF1	-278
DOT1L	-278
DNM2	-278
DIRC1	-278
DIO3OS	-278
CYP20A1	-278
CYBRD1	-278
CTNNA3	-278
CRK	-278
CREB5	-278
COX8A	-278
COL6A1	-278
COG5	-278
CNRIP1	-278
CLEC16A	-278
CHRM2	-278
CHD2	-278
CELF2	-278
CDK14	-278
CCND2	-278
CCN3	-278
CCDC197	-278
CAV1	-278
C1QTNF7	-278
BRD1	-278
BMP6	-278
ARVCF	-278
ARL6IP6	-278
ARL14EP	-278
ARL14	-278
ARHGAP12	-278
APOE	-278
AP000317.2	-278
AL691420.1	-278
AL589647.1	-278
AL357146.1	-278
AL356364.1	-278
AL162726.3	-278
AKR1A1	-278
AIG1	-278
AF207955.1	-278
ADCY5	-278
AC104119.1	-278
AC093904.1	-278
AC091152.3	-278
AC084017.1	-278
AC073115.2	-278
AC069368.1	-278
AC023161.1	-278
AC009070.1	-278
AC007389.1	-278
AC007381.2	-278
AC007092.1	-278
AC004869.1	-278
AC004156.1	-278
ZNF638	-279
ZNF618	-279
ZCCHC2	-279
YY1	-279
YKT6	-279
YAP1	-279
XRCC6	-279
WNT7A	-279
WDR1	-279
VAC14	-279
USP50	-279
UQCR10	-279
ULK4	-279
TSPAN14	-279
TRIOBP	-279
TRHR	-279
TRANK1	-279
TMX2	-279
THEM7P	-279
TGFB1	-279
TET1	-279
TCF7L2	-279
TCF7L1	-279
STEAP2	-279
STAB1	-279
SPINK7	-279
SPIB	-279
SNX19	-279
SMAD3	-279
SLC25A26	-279
SLC24A3	-279
SLC22A3	-279
SLC20A2	-279
SGCD	-279
SCAI	-279
SAMD4AA	-279
RIN3	-279
QSOX1	-279
PYY	-279
PRR16	-279
PRKCE	-279
PRDM11	-279
PLXDC2	-279
PHF19	-279
PHC2	-279
PDE3A	-279
PALLD	-279
OBI1	-279
NME7	-279
MYPN	-279
MYO1E	-279
MTNR1B	-279
MPPE1P1	-279
MCF2L	-279
MAPK4	-279
MALRD1	-279
LUZP1	-279
LINC01713	-279
LINC01358	-279
LINC00536	-279
LIN54	-279
LHFPL2	-279
LCA5L	-279
KCNH4	-279
JCAD	-279
ITGA1	-279
INHBA	-279
ING1	-279
IDH2	-279
HNF4G	-279
HGFAC	-279
HDAC9	-279
GOSR2	-279
GIPR	-279
FUT10	-279
FTMT	-279
FNDC3B	-279
FNDC1	-279
FN1	-279
FHL2	-279
FBLN5	-279
ENSA	-279
EML1	-279
EEPD1	-279
EDN1	-279
DYNLRB1	-279
DIP2A	-279
DDAH1	-279
DAZAP1	-279
CTBP1-DT	-279
CRACR2B	-279
COL6A3	-279
COL21A1	-279
COL15A1	-279
CNOT1	-279
CMSS1	-279
CFDP1	-279
CEP164	-279
CDKN1A	-279
CDK6	-279
CDH13	-279
CD46	-279
CCDC75P1	-279
CCDC30	-279
CCDC157	-279
C20orf203	-279
BNC2	-279
ARMH3	-279
AP003351.1	-279
ANKUB1	-279
AL365295.1	-279
AL359546.1	-279
AL359091.2	-279
AL355499.1	-279
AL353681.1	-279
AL163932.1	-279
AL121970.1	-279
AFAP1	-279
ADAMTSL3	-279
ADAMTS8	-279
AC120498.4	-279
AC074286.1	-279
AC067959.1	-279
AC058822.1	-279
AC024267.2	-279
AC022274.1	-279
AC021074.3	-279
AC018706.1	-279
AC009097.2	-279
AC007563.2	-279
ABCC9	-279
