Avg radiality: 1.9343472456028328

Gene	radiality
CSK	2.797507788161994
SH2B3	2.722741433021807
FGF5	2.5763239875389408
RGL3	2.445482866043614
SDCCAG8	2.236760124610592
ARHGAP42	2.1931464174454827
AC022308.1	2.174454828660436
FES	2.068535825545171
AL050403.2	2.0623052959501558
CPEB4	2.059190031152648
ZNF831	2.05607476635514
DBH	2.0498442367601246
ADO	2.0498442367601246
SLC39A8	2.046728971962617
ZC3HC1	2.043613707165109
TEX41	2.043613707165109
CACNB2	2.043613707165109
INO80	2.0373831775700935
DNM3	2.0373831775700935
CLPB	2.0373831775700935
AL121981.1	2.0373831775700935
AGT	2.0373831775700935
SOX6	2.034267912772586
SLC25A37	2.034267912772586
REEP3	2.034267912772586
PDE1A	2.034267912772586
NAV1	2.034267912772586
MECOM	2.034267912772586
CCNE1	2.034267912772586
AC092484.1	2.034267912772586
UBASH3B	2.0311526479750777
TNS1	2.0311526479750777
RPL17P12	2.0311526479750777
PKD2L1	2.0311526479750777
PIEZO2	2.0311526479750777
GDF2	2.0311526479750777
AL445648.1	2.0311526479750777
AC016735.1	2.0311526479750777
ZFAND2A	2.02803738317757
ZBTB38	2.02803738317757
PALM2AKAP2	2.02803738317757
GABBR1	2.02803738317757
FAM186A	2.02803738317757
FAHD2CP	2.02803738317757
ENPEP	2.02803738317757
DCDC1	2.02803738317757
AUTS2	2.02803738317757
ATP10A	2.02803738317757
ARHGAP15	2.02803738317757
AL590226.2	2.02803738317757
AL356534.1	2.02803738317757
ADRB1	2.02803738317757
AC109322.2	2.02803738317757
AC008125.1	2.02803738317757
SYNPO2	2.0249221183800623
SSPN	2.0249221183800623
SLCO3A1	2.0249221183800623
SLC9A3R2	2.0249221183800623
RBMS3	2.0249221183800623
PTK2	2.0249221183800623
PLEKHG1	2.0249221183800623
PKHD1	2.0249221183800623
PHIP	2.0249221183800623
MIR4421	2.0249221183800623
LINC01738	2.0249221183800623
KIF26A	2.0249221183800623
HAS3	2.0249221183800623
EXOC5P1	2.0249221183800623
CCM2	2.0249221183800623
AL157371.2	2.0249221183800623
AL121885.2	2.0249221183800623
AC016745.1	2.0249221183800623
AC009387.1	2.0249221183800623
AC009296.1	2.0249221183800623
AC006206.2	2.0249221183800623
MTAP	2.0218068535825546
LY6E-DT	2.0218068535825546
UBE2D3	2.0186915887850465
KIF2A	2.0186915887850465
AP1B1P1	2.0186915887850465
AL592429.2	2.0186915887850465
AC055878.1	2.0186915887850465
ZFP36L1	2.015576323987539
SPR	2.015576323987539
SLC35F1	2.015576323987539
SLC25A5P9	2.015576323987539
SENP2	2.015576323987539
RPS4XP18	2.015576323987539
RIMKLB	2.015576323987539
PDE10A	2.015576323987539
NOS3	2.015576323987539
MRAS	2.015576323987539
MAP3K20	2.015576323987539
LMO1	2.015576323987539
LINC01571	2.015576323987539
LINC00211	2.015576323987539
LAMC1	2.015576323987539
KCNK5	2.015576323987539
KCNB1	2.015576323987539
HRCT1	2.015576323987539
HM13	2.015576323987539
GNB4	2.015576323987539
CCDC68	2.015576323987539
BCAS2P3	2.015576323987539
ARHGEF17	2.015576323987539
AL035467.2	2.015576323987539
ADORA1	2.015576323987539
ACTBP13	2.015576323987539
AC023347.1	2.015576323987539
AC022031.2	2.015576323987539
AC009480.2	2.015576323987539
SH3TC2	2.012461059190031
WNT3A	2.0062305295950154
HFE	2.0062305295950154
DPF3	2.0062305295950154
CAPZA1	2.0062305295950154
AC116366.3	2.0062305295950154
PXMP4	2.0031152647975077
PRDM16	2.0031152647975077
NACA	2.0031152647975077
MYEOV	2.0031152647975077
MARK3	2.0031152647975077
LINC02398	2.0031152647975077
LINC01339	2.0031152647975077
GRM7	2.0031152647975077
EXOC6B	2.0031152647975077
DUSP1	2.0031152647975077
DNAJB4	2.0031152647975077
CYP27A1	2.0031152647975077
CERS5	2.0031152647975077
CCDC141	2.0031152647975077
AL157756.1	2.0031152647975077
AC009498.1	2.0031152647975077
ACOX1	1.9937694704049844
ZAP70	1.9906542056074767
YPEL3	1.9906542056074767
TPTE2P5	1.9906542056074767
TGFB2	1.9906542056074767
TBC1D19	1.9906542056074767
SLC8A1	1.9906542056074767
SIK2	1.9906542056074767
SCN2A	1.9906542056074767
RPL24P7	1.9906542056074767
RERE	1.9906542056074767
PTPRD	1.9906542056074767
PPM1E	1.9906542056074767
PLK2	1.9906542056074767
MGA	1.9906542056074767
MARK2P10	1.9906542056074767
LRP4	1.9906542056074767
LINC01940	1.9906542056074767
LINC01890	1.9906542056074767
GTF2I	1.9906542056074767
GRIFIN	1.9906542056074767
GPATCH2	1.9906542056074767
GAB2	1.9906542056074767
DPEP1	1.9906542056074767
CYP2C19	1.9906542056074767
BCKDHB	1.9906542056074767
ATXN7	1.9906542056074767
AL353614.1	1.9906542056074767
AKR1B10	1.9906542056074767
AGPAT4	1.9906542056074767
AC126178.1	1.9906542056074767
AC099518.3	1.9906542056074767
AC040173.2	1.9906542056074767
AC012409.2	1.9906542056074767
AC011518.1	1.9906542056074767
AC007100.1	1.9906542056074767
CABCOCO1	1.9750778816199377
SBNO1	1.9657320872274144
LRRC10B	1.9626168224299065
GUCY1A1	1.9595015576323989
DENND6A-DT	1.9595015576323989
CDC25A	1.9595015576323989
SEPTIN9	1.956386292834891
LINC01975	1.956386292834891
CACNA1C	1.956386292834891
BAG3	1.956386292834891
AL137781.1	1.956386292834891
TM6SF1	1.9501557632398754
SWAP70	1.9501557632398754
RXFP2	1.9501557632398754
MYO9B	1.9501557632398754
FBXL19	1.9501557632398754
CMIP	1.9501557632398754
ARHGAP29	1.9501557632398754
ACMSD	1.9501557632398754
AC108047.1	1.9501557632398754
C1GALT1	1.9345794392523366
